field1,field2,field3,field4,field5,_GC_TYPE,_CLEANADDR,_X,_Y
다인실버타운요양원,"요양원,요양센터",인천 서구 대곡로 415 다인실버타운요양원,대곡동 47-1 다인실버타운요양원,22600,정,인천광역시 서구 대곡동 47-1,126.65024223244028,37.63139901207521
행복한실버타운요양원,"요양원,요양센터",부산 강서구 명지국제2로28번길 34 9층 901호,명지동 3603-7 9층 901호,46726,정,부산광역시 강서구 명지동 3603-7,128.90887708626434,35.09282832650535
모랑가실버타운,"요양원,요양센터",전남 담양군 창평면 용수길 16,용수리 365-2,57390,정,전북특별자치도 김제시 용지면 용수리 365-2,126.99766263061059,35.83388033181416
산청복음실버타운,"요양원,요양센터",경남 산청군 단성면 강누방목로401번길 79,방목리 268-1,52242,정,경상남도 산청군 단성면 방목리 268-1,127.93137684648198,35.330224076381995
참사랑숲속실버타운,"요양원,요양센터",경북 구미시 형곡동로6길 16-17,형곡동 586-1,39317,정,경상북도 구미시 형곡동 586-1,128.33831848322959,36.104845856798995
늘푸른청춘실버타운,"요양원,요양센터",광주 광산구 도천남길 41-60,수완동 668-1,62244,정,광주광역시 광산구 수완동 668-1,126.81866334583296,35.20600431843048
수성윤정실버타운,"요양원,요양센터",대구 수성구 희망로 93-2 1~5층(중동),중동 532-566 1~5층(중동),42137,정,대구광역시 수성구 중동 532-566,128.6092072439338,35.847641404781704
장성누리타운,아파트,전남 장성군 청운11길 11,장성읍 영천리 1475-5,57220,정,전라남도 장성군 장성읍 영천리 1475-5,126.78231175802148,35.304128734113554
왜전실버공동체실버타운,"요양원,요양센터",경남 함안군 산인면 신산1길 46,신산리 597-3,,정,경상남도 함안군 산인면 신산리 597-3,128.47590838431714,35.269228926801915
삼성실버타운,"요양원,요양센터",경북 구미시 송원서로2길 31 삼성실버타운,원평동 1060-24 삼성실버타운,39232,정,경상북도 구미시 원평동 1060-24,128.34649755114387,36.123036900900246
백정애건강실버타운,"요양원,요양센터",울산 중구 백양로 205,성안동 406-10,44417,정,울산광역시 중구 성안동 406-10,129.32374356773477,35.58042850851687
아산실버타운요양원,"요양원,요양센터",충남 아산시 번영로143번길 43,권곡동 524-6,31515,정,충청남도 아산시 권곡동 524-6,127.00795257785596,36.78987504592593
가현누리실버타운,"요양원,요양센터",경남 산청군 단성면 목화로474번길 14-2,소남리 169-1,,정,경상남도 산청군 단성면 소남리 169-1,127.96193131021981,35.257066468772166
노인요양시설 사랑플러스실버타운,"요양원,요양센터",경북 구미시 상사동로 95 나동,임은동 497 나동,39335,정,경상북도 구미시 임은동 497 나동,128.3591728008466,36.093195314665586
"봄실버타운,요양원","요양원,요양센터",경북 포항시 북구 장량로128번길 28-11 봄실버타운,장성동 1430-1 봄실버타운,37588,정,경상북도 포항시 북구 장성동 1430-1,129.39363940446702,36.079005874524874
수목원실버타운,"요양원,요양센터",대구 달서구 갈밭로4길 43,대곡동 1061-2,42842,정,대구광역시 달서구 대곡동 1061-2,128.52882936578814,35.8045033347134
서종 실버타운 요양원,"요양원,요양센터",경기 양평군 서종면 서능로 3 서종실버타운요양원,수능리 227-4 서종실버타운요양원,12504,정,경기도 양평군 서종면 수능리 227-4,127.38909061011319,37.58344149495251
아름다운실버타운,"요양원,요양센터",인천 강화군 불은면 해안동로283번길 17,덕성리 481,23047,정,전라남도 담양군 금성면 덕성리 481,127.06020759833629,35.36458913108834
봄빛실버타운요양원,"요양원,요양센터",경기 시흥시 도일로123번길 41 봄빛실버타운요양원,거모동 1738-5 봄빛실버타운요양원,15070,정,경기도 시흥시 거모동 1738-5,126.7815700300164,37.34466277239851
현대실버타운,"요양원,요양센터",대구 달서구 상화북로5길 5 현대실버타운,진천동 277 현대실버타운,42800,정,대구광역시 달서구 진천동 277,128.52880177178045,35.810573976570694
자연실버타운,"요양원,요양센터",인천 남동구 논고개로 273,도림동 355-7,21645,정,인천광역시 남동구 도림동 355-7,126.72627633993989,37.41504422248191
효누림실버타운 신관,"요양원,요양센터","경기 고양시 일산동구 고양대로 864-7 2층, 3층, 4층","중산동 35-15 2층, 3층, 4층",10311,정,경기도 고양시 일산동구 중산동 35-15,126.79052869746694,37.679117026925915
